,Unnamed: 0,X,Y,RA,DEC,I,DI,Q,DQ,U,DU,P,DP,ANG,DANG,PI,DPI,AST,PCA,ID
141,1328,-2.5,1.5,344.0935416666667,62.03472222222222,2969.89,1.95567,-44.1887,1.78329,-74.6932,1.53871,2.92217,0.0541001,29.6956,0.568835,86.7855,1.6057,1,1,2600
142,1329,-1.5,1.5,344.08643333333333,62.03472222222222,3171.69,5.56219,-34.8316,1.74745,-57.8142,2.0901,2.12808,0.0633124,29.466099999999997,0.783059,67.4961,2.00458,1,1,2601
143,1330,-0.5,1.5,344.079325,62.03472222222222,3073.71,8.58958,-4.16501,2.34287,-20.7447,0.703142,0.688376,0.0270529,39.3237,3.11572,21.1587,0.829423,1,1,2602
144,1331,0.5,1.5,344.0722166666667,62.03472222222222,1921.85,4.51269,9.22543,1.99553,2.04982,1.40004,0.491735,0.102592,96.2636,4.34582,9.45042,1.97155,1,1,2603
145,1332,1.5,1.5,344.06510833333334,62.03472222222222,1054.22,5.35101,8.82358,2.06445,-7.01353,2.59083,1.06918,0.216598,70.7601,6.10185,11.2714,2.2827,1,1,2604
146,1333,2.5,1.5,344.058,62.03472222222222,677.464,3.85661,5.81998,1.50594,-5.69254,1.36559,1.2017,0.212525,67.8171,5.05292,8.14108,1.43903,1,1,2605
147,1334,3.5,1.5,344.05089166666664,62.03472222222222,274.801,2.17937,7.13851,1.44838,-2.55358,1.0304,2.75891,0.512555,80.15847,4.1034,7.5815,1.40722,1,1,2606
148,1341,10.5,1.5,344.0011375,62.034702777777774,335.808,0.876119,2.07378,2.45991,-4.7781,0.772568,1.5511,0.36002,56.7309,12.5257,5.20872,1.2089,1,1,2613
149,1343,12.5,1.5,343.98692083333333,62.03469444444444,164.46,1.64242,2.8802,1.09248,4.58623,1.92647,3.29298,1.05354,118.9354,7.30241,5.41563,1.73181,1,1,2615
150,1344,13.5,1.5,343.9798125,62.03469166666667,156.832,3.287,1.28374,1.44401,-5.97338,1.35969,3.89574,0.873242,51.0645,6.75381,6.10976,1.36352,1,1,2616
151,1377,-10.5,2.5,344.1504166666667,62.03803611111111,265.009,3.52407,9.3004,1.72632,-1.06909,2.47215,3.53258,0.657547,86.72129,7.5398,9.36165,1.73811,1,1,2679
152,1378,-9.5,2.5,344.1433083333333,62.038038888888885,402.337,3.84602,13.0069,1.50888,-5.21892,2.02852,3.48337,0.396865,79.0686,4.01602,14.0149,1.59111,1,1,2680
153,1379,-8.5,2.5,344.1362,62.038041666666665,385.932,2.80521,5.05289,2.80668,-8.09533,2.75491,2.47268,0.717845,60.9857,8.38245,9.54285,2.76953,1,1,2681
154,1380,-7.5,2.5,344.1290875,62.038044444444445,491.939,4.56021,5.55043,2.08998,-19.878,1.52883,4.19532,0.322744,52.8005,2.85189,20.6384,1.57614,1,1,2682
155,1381,-6.5,2.5,344.1219791666667,62.03804722222222,772.88,6.43785,-4.76723,1.40126,-24.1897,1.24607,3.19002,0.164184,39.4256,1.62182,24.655,1.25222,1,1,2683
156,1382,-5.5,2.5,344.1148708333333,62.03805,1204.05,5.84891,-0.892452,2.82795,-37.9273,2.38259,3.15085,0.198495,44.326,2.1353,37.9378,2.38286,1,1,2684
157,1383,-4.5,2.5,344.1077625,62.03805277777778,1720.69,3.34995,2.80034,2.26998,-54.2925,1.91658,3.15947,0.111614,46.4763,1.19573,54.3647,1.91761,1,1,2685
158,1384,-3.5,2.5,344.1006541666667,62.03805277777778,1830.46,2.93737,-15.682,2.24897,-54.0388,0.61371,3.07399,0.0472614,36.9087,1.10309,56.2682,0.860378,1,1,2686
159,1385,-2.5,2.5,344.09354583333334,62.03805555555555,1732.53,3.6105,-32.4574,1.41876,-36.4823,1.64284,2.81847,0.089533,24.170699999999997,0.892824,48.8308,1.54784,1,1,2687
160,1386,-1.5,2.5,344.0864375,62.03805555555555,1791.86,1.9465,-28.7963,1.34176,-21.8571,1.94406,2.01757,0.088685,18.5997,1.38527,36.1519,1.58862,1,1,2688
161,1387,-0.5,2.5,344.079325,62.03805555555555,1962.57,3.18932,0.126261,1.53592,-15.4225,0.76467,0.785855,0.0389875,45.2345,2.85287,15.423,0.764748,1,1,2689
162,1388,0.5,2.5,344.0722166666667,62.03805555555555,1541.91,1.24237,7.80307,1.37913,-2.07446,3.05494,0.523645,0.100317,82.55609,10.5506,8.07412,1.54678,1,1,2690
163,1389,1.5,2.5,344.06510833333334,62.03805555555555,1182.43,1.15479,16.444,1.27262,-0.663222,2.28539,1.39183,0.10783,88.8452,3.97602,16.4574,1.27491,1,1,2691
164,1390,2.5,2.5,344.058,62.03805555555555,768.465,1.37047,14.0009,1.31117,0.152574,1.48254,1.82204,0.170656,90.312176,3.03327,14.0017,1.31119,1,1,2692
165,1391,3.5,2.5,344.05089166666664,62.03805555555555,288.006,1.98426,10.8706,1.35388,-5.38007,1.84549,4.21141,0.509052,76.8341,4.15615,12.1291,1.46371,1,1,2693
166,1392,4.5,2.5,344.04378333333335,62.03805277777778,71.1301,3.50001,8.13434,2.61111,-5.44697,2.4588,13.763,3.669,73.0963,7.33618,9.78964,2.56492,1,1,2694
167,1394,6.5,2.5,344.0295625,62.03805,135.544,2.99513,-0.245724,2.44028,-5.79115,2.0834,4.27638,1.54049,43.7852,12.0579,5.79636,2.0841,1,1,2696
168,1395,7.5,2.5,344.02245416666665,62.03804722222222,159.843,1.00294,4.13295,2.78259,-5.34492,2.73506,4.22692,1.72248,63.8565,11.7234,6.75644,2.75294,1,1,2697
169,1397,9.5,2.5,344.0082375,62.038041666666665,140.514,3.46778,-0.00689201,1.99433,5.2823,2.32999,3.75926,1.66078,135.0374,10.816,5.2823,2.32999,1,1,2699
170,1399,11.5,2.5,343.9940208333333,62.03803333333333,187.547,1.3313,0.579198,0.840203,4.59573,1.26833,2.46983,0.673531,131.4085,5.24806,4.63208,1.26276,1,1,2701
171,1400,12.5,2.5,343.98690833333336,62.03802777777778,194.448,1.5025,4.20805,2.08862,-0.540251,1.72972,2.18187,1.07153,86.34205,11.7231,4.24259,2.0833,1,1,2702
172,1404,16.5,2.5,343.958475,62.03800833333333,46.138,2.53899,9.69525,2.4249,2.68523,3.19501,21.8047,5.52369,97.74039,8.95976,10.0602,2.48767,1,1,2706
173,1435,-10.5,3.5,344.150425,62.04136944444444,155.094,3.70505,5.95089,1.39984,-4.23558,2.03573,4.70962,1.06428,72.2792,7.24209,7.30433,1.64139,1,1,2766
174,1436,-9.5,3.5,344.1433166666667,62.04137222222222,269.803,3.60357,3.72857,1.63068,1.20409,1.18103,1.45223,0.590991,98.94859,8.99717,3.91818,1.59365,1,1,2767
175,1437,-8.5,3.5,344.1362041666667,62.041374999999995,310.666,3.21076,-2.00993,1.40077,-17.036,2.99216,5.52174,0.959666,41.6356,2.39586,17.1541,2.97608,1,1,2768
176,1438,-7.5,3.5,344.12909583333334,62.041377777777775,537.815,2.2924,-4.48531,1.04978,-22.663,2.46679,4.29563,0.451905,39.4025,1.40833,23.1025,2.42842,1,1,2769
